;xbx;vx;ax;vax;ux;posx;setx;xby;vy;ay;vay;uy;posy;sety;tr
113;[-0.03943702];[-0.05133576];[-0.00462787];[0.0091086];[-0.00647111];-0.03978873;-6.0;[0.04622995];[0.01047191];[0.00655183];[0.07895425];[0.02378215];0.04647887;2.0;374015290738300
114;[-0.04093547];[-0.03463304];[-0.00958522];[0.02065077];[0.00092286];-0.03978873;-6.0;[0.04659577];[0.00418279];[0.01376954];[0.08435385];[0.02759613];0.04647887;1.0;374015357799800
115;[-0.04492105];[-0.04215671];[-0.00109478];[0.0224587];[-0.00731588];-0.04612676;-6.0;[0.0452548];[-0.01300247];[0.0228199];[0.04457149];[0.02489171];0.044366199999999995;0.0;374015424818400
116;[-0.04586769];[-0.02721573];[-0.00745519];[-0.00385182];[0.00011587];-0.04471831;-6.0;[0.04381462];[-0.02474103];[0.02456335];[0.00391769];[0.0260383];0.043661969999999994;-1.0;374015491844500
117;[-0.04582568];[-0.01139772];[-0.00911191];[0.07132484];[0.00743774];-0.04471831;-6.0;[0.04251262];[-0.0302083];[0.02340505];[0.01981891];[0.03052875];0.042957749999999996;-2.0;374015558893900
118;[-0.04540333];[-0.00098642];[-0.0052862];[0.10305803];[0.01166371];-0.04471831;-6.0;[0.04100913];[-0.03436166];[0.02400304];[0.05180359];[0.03505952];0.041549300000000004;-3.0;374015626118000
119;[-0.04499579];[0.00273203];[0.00055477];[0.0919009];[0.01257528];-0.04471831;-6.0;[0.03902226];[-0.04033537];[0.02676583];[0.06738169];[0.03801228];0.03943662;-4.0;374015693082700
120;[-0.04391758];[0.00748843];[0.00330259];[0.0750557];[0.01511515];-0.043309860000000006;-6.0;[0.03593395];[-0.05192318];[0.03140977];[0.05552809];[0.03726317];0.03591549;-5.0;374015760191800
121;[-0.04338755];[0.0052753];[0.00784928];[0.06066899];[0.01367688];-0.043309860000000006;-6.0;[0.03098012];[-0.07180018];[0.03667293];[0.00870608];[0.03126501];0.03028169;-6.0;374015827270000
122;[-0.04325908];[0.00023223];[0.01066591];[0.02585211];[0.01104278];-0.043309860000000006;-6.0;[0.02850088];[-0.06603099];[0.02803543];[0.01870229];[0.03362027];0.03028169;-6.0;374015894337600
123;[-0.04334974];[-0.00436141];[0.01089679];[0.0013166];[0.00891376];-0.043309860000000006;-6.0;[0.02344561];[-0.07834174];[0.03095392];[0.02323797];[0.02343951];0.02323944;-6.0;374015961346500
124;[-0.04392908];[-0.0098824];[0.0105461];[-0.013117];[0.00605595];-0.04401408;-6.0;[0.01856851];[-0.08362196];[0.02685466];[-0.03006517];[0.0181975];0.01901408;-6.0;374016028396200
125;[-0.04472121];[-0.01381502];[0.00884406];[-0.02325408];[0.00400765];-0.04471831;-6.0;[0.01397988];[-0.0826468];[0.02044072];[-0.0226174];[0.01627961];0.014788730000000002;-6.0;374016095416100
126;[-0.04640435];[-0.02123814];[0.00857235];[-0.03611833];[-0.00060621];-0.04683099;-6.0;[0.00625359];[-0.10159793];[0.02385735];[-0.05696343];[0.00100984];0.00492958;-6.0;374016162614600
127;[-0.048106];[-0.0247333];[0.00553743];[-0.05068198];[-0.00288989];-0.04823944;-6.0;[-0.00069613];[-0.10587202];[0.01538016];[-0.11963031];[-0.00450354];-0.00070423;-6.0;374016229722700
128;[-0.04927319];[-0.02179669];[0.00084302];[-0.03299502];[-0.00160312];-0.04894366;-6.0;[-0.00690406];[-0.09997631];[0.00511587];[-0.08360731];[-0.00478676];-0.00633803;-6.0;374016296793500
129;[-0.05048763];[-0.01940543];[-0.00085161];[-0.00721447];[-0.00122094];-0.050352110000000005;-6.0;[-0.01298569];[-0.09324853];[-0.00033764];[-0.03920541];[-0.00556566];-0.01267606;-6.0;374016363864900
